city,day,name_en,name_local,address,map_provider,booking_link_needed,status,search_query,map_link,place_link,booking_link,notes
Beijing,1,The Yard Hotel Beijing,The Yard Hotel Beijing,"Xianyukou Street, Dongcheng District (鲜鱼口街, 东城区)",Amap,no,query_ready,"The Yard Hotel Beijing Xianyukou Street, Dongcheng District (鲜鱼口街, 东城区)",,,,Use Chinese address in Amap for best results. Priority for exact verification.
Beijing,1,Xianyukou Street food area,鲜鱼口街,鲜鱼口街,Amap,no,query_ready,鲜鱼口街 鲜鱼口街,,,,
Beijing,1,Bianyifang,便宜坊,No. 65-77 Xianyukou Street,Amap,no,query_ready,便宜坊 No. 65-77 Xianyukou Street,,,,
Beijing,2,Forbidden City,故宫博物院,"Meridian Gate entrance, Beijing",Amap,yes,query_ready,"故宫博物院 Meridian Gate entrance, Beijing",,,https://www.palace-museum.cn/,Official Palace Museum site is the primary booking source. Priority for exact verification.
Beijing,2,Jingshan Park,景山公园,Behind the north gate of the Forbidden City,Amap,no,query_ready,景山公园 Behind the north gate of the Forbidden City,,,,
Beijing,2,Nanluoguxiang,南锣鼓巷,"Nanluoguxiang, Dongcheng District",Amap,no,query_ready,"南锣鼓巷 Nanluoguxiang, Dongcheng District",,,,
Beijing,2,Metal Hands Coffee,Metal Hands Coffee,Nanluoguxiang area,Amap,no,query_ready,Metal Hands Coffee Nanluoguxiang area,,,,
Beijing,2,Barista Coffee Roasters,Barista Coffee Roasters,47 Wudaoying Hutong,Amap,no,query_ready,Barista Coffee Roasters 47 Wudaoying Hutong,,,,
Beijing,2,Shichahai,什刹海,Houhai / Qianhai lakes area,Amap,no,query_ready,什刹海 Houhai / Qianhai lakes area,,,,
Beijing,2,Siji Minfu,四季民福,No. 11 Nanchizi Street (南池子大街11号),Amap,yes,query_ready,四季民福 No. 11 Nanchizi Street (南池子大街11号),,,,Needs WeChat / Trip.com / concierge booking verification. Priority for exact verification.
Beijing,3,Dongzhimen Bus Station,东直门公交枢纽,"Dongzhimen, Beijing",Amap,no,query_ready,"东直门公交枢纽 Dongzhimen, Beijing",,,,
Beijing,3,Mutianyu Great Wall,慕田峪长城,"Mutianyu section, Huairou District",Amap,no,query_ready,"慕田峪长城 Mutianyu section, Huairou District",,,,Priority for exact verification.
Beijing,4,Temple of Heaven,天坛,"Tiantan area, Beijing",Amap,no,query_ready,"天坛 Tiantan area, Beijing",,,,Priority for exact verification.
Beijing,4,798 Art Zone,798 艺术区,"798 Art District, Beijing",Amap,no,query_ready,"798 艺术区 798 Art District, Beijing",,,,Priority for exact verification.
Beijing,4,UCCA Center for Contemporary Art,UCCA尤伦斯当代艺术中心,798 Art Zone,Amap,no,query_ready,UCCA尤伦斯当代艺术中心 798 Art Zone,,,,
Beijing,4,Voyage Coffee 798,Voyage Coffee,798 Art Zone,Amap,no,query_ready,Voyage Coffee 798 Art Zone,,,,
Beijing,4,Wangfujing Dajie,王府井大街,"Wangfujing, Beijing",Amap,no,query_ready,"王府井大街 Wangfujing, Beijing",,,,
Beijing,4,Haidilao Wangfujing APM,海底捞,"Wangfujing APM, 5F",Amap,no,query_ready,"海底捞 Wangfujing APM, 5F",,,,
Beijing,4,Da Dong,大董,"Floor 6, 301 Wangfujing",Amap,yes,query_ready,"大董 Floor 6, 301 Wangfujing",,,,
Beijing,5,Beijing Daxing Airport,北京大兴国际机场,PKX Daxing,Amap,no,query_ready,北京大兴国际机场 PKX Daxing,,,,Priority for exact verification.
Seoul,5,Incheon International Airport,인천국제공항,ICN,KakaoMap,no,search_link_ready,인천국제공항 ICN,http://m.map.kakao.com/scheme/search?q=%EC%9D%B8%EC%B2%9C%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD%20ICN,,,Priority for exact verification.
Seoul,5,Seoul Station,서울역,Seoul,KakaoMap,no,search_link_ready,서울역 Seoul,http://m.map.kakao.com/scheme/search?q=%EC%84%9C%EC%9A%B8%EC%97%AD%20Seoul,,,Priority for exact verification.
Seoul,5,Jongno 5-ga Station,종로5가역,Seoul Metro Line 1,KakaoMap,no,search_link_ready,종로5가역 Seoul Metro Line 1,http://m.map.kakao.com/scheme/search?q=%EC%A2%85%EB%A1%9C5%EA%B0%80%EC%97%AD%20Seoul%20Metro%20Line%201,,,Priority for exact verification.
Seoul,5,Brooklyn Blues Hotel,Brooklyn Blues Hotel,"195-14 Yeongeon-dong, Jongno-gu (종로구 연건동 195-14)",KakaoMap,no,search_link_ready,"Brooklyn Blues Hotel 195-14 Yeongeon-dong, Jongno-gu (종로구 연건동 195-14)",http://m.map.kakao.com/scheme/search?q=Brooklyn%20Blues%20Hotel%20195-14%20Yeongeon-dong%2C%20Jongno-gu%20%28%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%97%B0%EA%B1%B4%EB%8F%99%20195-14%29,,,Search link prepared; exact place link should be verified manually in KakaoMap. Priority for exact verification.
Seoul,5,Cheonggyecheon Stream,청계천,Central Seoul,KakaoMap,no,search_link_ready,청계천 Central Seoul,http://m.map.kakao.com/scheme/search?q=%EC%B2%AD%EA%B3%84%EC%B2%9C%20Central%20Seoul,,,
Seoul,6,Changgyeonggung Palace,창경궁,"185 Changgyeonggung-ro, Jongno-gu",KakaoMap,no,search_link_ready,"창경궁 185 Changgyeonggung-ro, Jongno-gu",http://m.map.kakao.com/scheme/search?q=%EC%B0%BD%EA%B2%BD%EA%B6%81%20185%20Changgyeonggung-ro%2C%20Jongno-gu,,,
Seoul,6,Bukchon Hanok Village,북촌한옥마을,"Bukchon area, Seoul",KakaoMap,no,search_link_ready,"북촌한옥마을 Bukchon area, Seoul",http://m.map.kakao.com/scheme/search?q=%EB%B6%81%EC%B4%8C%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84%20Bukchon%20area%2C%20Seoul,,,
Seoul,6,Hanboknam,한복남,"18 Yulgok-ro 1-gil, Jongno-gu",KakaoMap,no,search_link_ready,"한복남 18 Yulgok-ro 1-gil, Jongno-gu",http://m.map.kakao.com/scheme/search?q=%ED%95%9C%EB%B3%B5%EB%82%A8%2018%20Yulgok-ro%201-gil%2C%20Jongno-gu,,https://www.klook.com/en-GB/activity/7955-hanbok-rental-voucher-at-kyeonbokgung-store-in-hanboknam-seoul/,Official / booking sources point to Gyeongbokgung branch near station and Sajik-ro address. Priority for exact verification.
Seoul,6,Gyeongbokgung Palace,경복궁,"161 Sajik-ro, Jongno-gu",KakaoMap,no,search_link_ready,"경복궁 161 Sajik-ro, Jongno-gu",http://m.map.kakao.com/scheme/search?q=%EA%B2%BD%EB%B3%B5%EA%B6%81%20161%20Sajik-ro%2C%20Jongno-gu,,,Priority for exact verification.
Seoul,6,Tosokchon Samgyetang,토속촌 삼계탕,"5 Jahamun-ro 5-gil, Jongno-gu",KakaoMap,no,search_link_ready,"토속촌 삼계탕 5 Jahamun-ro 5-gil, Jongno-gu",http://m.map.kakao.com/scheme/search?q=%ED%86%A0%EC%86%8D%EC%B4%8C%20%EC%82%BC%EA%B3%84%ED%83%95%205%20Jahamun-ro%205-gil%2C%20Jongno-gu,,,
Seoul,6,Cafe Onion Anguk,카페 어니언 안국,Anguk / Samcheong-dong area,KakaoMap,no,search_link_ready,카페 어니언 안국 Anguk / Samcheong-dong area,http://m.map.kakao.com/scheme/search?q=%EC%B9%B4%ED%8E%98%20%EC%96%B4%EB%8B%88%EC%96%B8%20%EC%95%88%EA%B5%AD%20Anguk%20/%20Samcheong-dong%20area,,,
Seoul,6,Shin Old Tea House,신옛찻집,"19 Insadong 16-gil, Jongno-gu",KakaoMap,no,search_link_ready,"신옛찻집 19 Insadong 16-gil, Jongno-gu",http://m.map.kakao.com/scheme/search?q=%EC%8B%A0%EC%98%9B%EC%B0%BB%EC%A7%91%2019%20Insadong%2016-gil%2C%20Jongno-gu,,,
Seoul,6,Ssamziegil,쌈지길,Insadong area,KakaoMap,no,search_link_ready,쌈지길 Insadong area,http://m.map.kakao.com/scheme/search?q=%EC%8C%88%EC%A7%80%EA%B8%B8%20Insadong%20area,,,
Seoul,6,Myeongdong Kyoja,명동교자,"29 Myeongdong 10-gil, Jung-gu",KakaoMap,no,search_link_ready,"명동교자 29 Myeongdong 10-gil, Jung-gu",http://m.map.kakao.com/scheme/search?q=%EB%AA%85%EB%8F%99%EA%B5%90%EC%9E%90%2029%20Myeongdong%2010-gil%2C%20Jung-gu,,,Priority for exact verification.
Seoul,7,Olive Young Flagship,올리브영 명동 플래그십,"53 Myeongdong-gil, Jung-gu",KakaoMap,no,search_link_ready,"올리브영 명동 플래그십 53 Myeongdong-gil, Jung-gu",http://m.map.kakao.com/scheme/search?q=%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%81%20%EB%AA%85%EB%8F%99%20%ED%94%8C%EB%9E%98%EA%B7%B8%EC%8B%AD%2053%20Myeongdong-gil%2C%20Jung-gu,,,Priority for exact verification.
Seoul,7,Chicor,시코르,Myeongdong area,KakaoMap,no,search_link_ready,시코르 Myeongdong area,http://m.map.kakao.com/scheme/search?q=%EC%8B%9C%EC%BD%94%EB%A5%B4%20Myeongdong%20area,,,
